"learn_rate","dropout_rate","l2_reg","units1","units2","mean_auc","mean_epochs"
5e-04,0.3,0.1,128,128,0.793459475040436,21
0.001,0.4,0.1,128,128,0.784465193748474,10
5e-04,0.4,0.1,128,128,0.791553735733032,13
0.001,0.5,0.1,128,128,0.785851314663887,13
5e-04,0.5,0.1,128,128,0.791775390505791,24
0.001,0.2,0.01,128,128,0.801564395427704,21
5e-04,0.2,0.01,128,128,0.802565902471542,13
0.001,0.3,0.01,128,128,0.799141809344292,15
5e-04,0.3,0.01,128,128,0.804421365261078,7
0.001,0.4,0.01,128,128,0.796956345438957,18
5e-04,0.4,0.01,128,128,0.803450629115105,12
0.001,0.5,0.01,128,128,0.798126310110092,15
5e-04,0.5,0.01,128,128,0.801642388105392,10
0.001,0.2,0.005,128,128,0.801438093185425,13
5e-04,0.2,0.005,128,128,0.603847071528435,12
0.001,0.3,0.005,128,128,0.799295544624329,14
5e-04,0.3,0.005,128,128,0.805019930005074,16
0.001,0.4,0.005,128,128,0.799178764224052,7
5e-04,0.4,0.005,128,128,0.803032770752907,21
0.001,0.5,0.005,128,128,0.798298060894012,14
5e-04,0.5,0.005,128,128,0.803799539804459,10
0.001,0.2,0.001,128,128,0.801970511674881,15
5e-04,0.2,0.001,128,128,0.795026227831841,25
0.001,0.3,0.001,128,128,0.803007245063782,7
5e-04,0.3,0.001,128,128,0.798334702849388,21
0.001,0.4,0.001,128,128,0.802782818675041,17
5e-04,0.4,0.001,128,128,0.801708817481995,20
0.001,0.5,0.001,128,128,0.802460089325905,17
5e-04,0.5,0.001,128,128,0.802803918719292,14
0.001,0.2,0.1,256,128,0.788922056555748,17
5e-04,0.2,0.1,256,128,0.79410009086132,16
0.001,0.3,0.1,256,128,0.787269353866577,28
5e-04,0.3,0.1,256,128,0.792330145835876,9
0.001,0.4,0.1,256,128,0.780584260821342,18
5e-04,0.4,0.1,256,128,0.791989132761955,19
0.001,0.5,0.1,256,128,0.786209926009178,16
5e-04,0.5,0.1,256,128,0.7897869348526,12
0.001,0.2,0.01,256,128,0.80171374976635,11
5e-04,0.2,0.01,256,128,0.801595270633698,22
0.001,0.3,0.01,256,128,0.798511058092117,13
5e-04,0.3,0.01,256,128,0.80252867937088,15
0.001,0.4,0.01,256,128,0.797632038593292,16
5e-04,0.4,0.01,256,128,0.801104292273521,24
0.001,0.5,0.01,256,128,0.797796860337257,12
5e-04,0.5,0.01,256,128,0.801920652389526,9
0.001,0.2,0.005,256,128,0.80009663105011,15
5e-04,0.2,0.005,256,128,0.801329836249352,15
0.001,0.3,0.005,256,128,0.80240386724472,9
5e-04,0.3,0.005,256,128,0.803864315152168,20
0.001,0.4,0.005,256,128,0.799284368753433,13
5e-04,0.4,0.005,256,128,0.804241478443146,23
0.001,0.5,0.005,256,128,0.79801070690155,10
5e-04,0.5,0.005,256,128,0.803708270192146,11
0.001,0.2,0.001,256,128,0.802023410797119,10
5e-04,0.2,0.001,256,128,0.795275747776031,14
0.001,0.3,0.001,256,128,0.801783546805382,14
5e-04,0.3,0.001,256,128,0.800491169095039,19
0.001,0.4,0.001,256,128,0.803728029131889,18
5e-04,0.4,0.001,256,128,0.797180682420731,32
0.001,0.5,0.001,256,128,0.803329855203629,17
5e-04,0.5,0.001,256,128,0.802755936980247,32
0.001,0.2,0.1,256,256,0.786714613437653,13
5e-04,0.2,0.1,256,256,0.793481335043907,13
0.001,0.3,0.1,256,256,0.787393301725388,8
5e-04,0.3,0.1,256,256,0.791241809725761,9
0.001,0.4,0.1,256,256,0.787222698330879,29
5e-04,0.4,0.1,256,256,0.792317241430283,21
0.001,0.5,0.1,256,256,0.781080022454262,15
5e-04,0.5,0.1,256,256,0.791778802871704,17
0.001,0.2,0.01,256,256,0.798564165830612,13
5e-04,0.2,0.01,256,256,0.80317859351635,26
0.001,0.3,0.01,256,256,0.798307806253433,14
5e-04,0.3,0.01,256,256,0.802109658718109,17
0.001,0.4,0.01,256,256,0.799053564667702,16
5e-04,0.4,0.01,256,256,0.803266778588295,22
0.001,0.5,0.01,256,256,0.796925514936447,13
5e-04,0.5,0.01,256,256,0.800731018185616,10
0.001,0.2,0.005,256,256,0.802940666675568,16
5e-04,0.2,0.005,256,256,0.804657801985741,18
0.001,0.3,0.005,256,256,0.600023537874222,12
5e-04,0.3,0.005,256,256,0.802380353212357,15
0.001,0.4,0.005,256,256,0.801339939236641,19
5e-04,0.4,0.005,256,256,0.802717328071594,9
0.001,0.5,0.005,256,256,0.799420341849327,20
5e-04,0.5,0.005,256,256,0.800995394587517,13
0.001,0.2,0.001,256,256,0.804214850068092,15
5e-04,0.2,0.001,256,256,0.798561379313469,21
0.001,0.3,0.001,256,256,0.803565725684166,16
5e-04,0.3,0.001,256,256,0.799529433250427,24
0.001,0.4,0.001,256,256,0.803441554307938,18
5e-04,0.4,0.001,256,256,0.802808165550232,17
0.001,0.5,0.001,256,256,0.804298564791679,14
5e-04,0.5,0.001,256,256,0.803035944700241,9
